,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),volute_constructor_parameter(-),volsp,outer_disk_radius(mm),inner_disk_radius(mm)
0,1,0.3015079864424622,7.943738474e-07,1.2000000000000002,0.405,1.05,25.0,5.0
1,1,0.2616186798178395,1.2804880179e-06,1.6,0.2075,0.575,25.0,5.0
2,1,0.1809738534964989,1.8264622904e-06,0.8,0.6025,1.525,25.0,5.0
3,1,0.3423919506210913,5.265080082e-07,1.0,0.30625,1.2875,25.0,5.0
4,1,0.167994644055997,1.6015877712e-06,1.8000000000000005,0.70125,0.3375,25.0,5.0
5,0,0.0,0.0,1.4,0.10875,1.7625,25.0,5.0
6,1,0.2219590073276795,1.6671760147e-06,0.6000000000000001,0.50375,0.8124999999999999,25.0,5.0
7,1,0.3988346933067869,3.709790895e-07,0.7000000000000001,0.256875,1.88125,25.0,5.0
8,1,0.2061256429444126,1.623983024e-06,1.5,0.651875,0.93125,25.0,5.0
9,0,0.0,0.0,1.9,0.059375,1.40625,25.0,5.0
10,1,0.2633705613407436,1.0038490656e-06,1.1,0.454375,0.4562499999999999,25.0,5.0
11,0,0.0,0.0,0.9,0.158125,0.69375,25.0,5.0
12,1,0.2391987896605752,7.630822294e-07,1.7000000000000002,0.5531250000000001,1.64375,25.0,5.0
13,1,0.2710156058843808,8.348178057e-07,1.3,0.355625,0.21875,25.0,5.0
14,1,0.1244360495278945,3.5436621976e-06,0.5,0.7506250000000001,1.16875,25.0,5.0
15,1,0.3090721460018432,8.550914625e-07,0.55,0.3803125000000001,0.990625,25.0,5.0
16,1,0.1735736096496097,1.6553830328e-06,1.35,0.7753125000000001,1.940625,25.0,5.0
17,1,0.2536976247300577,1.3861895163e-06,1.75,0.1828125,0.515625,25.0,5.0
18,1,0.2244487849933957,1.5933627596e-06,0.95,0.5778125000000001,1.465625,25.0,5.0
19,0,0.0,0.0,1.15,0.0840625,1.703125,25.0,5.0
20,1,0.2113704925806393,1.0092199787e-06,1.95,0.4790625000000001,0.7531249999999999,25.0,5.0
21,1,0.2794260832972945,7.497978553e-07,1.5500000000000005,0.2815625,1.228125,25.0,5.0
22,1,0.0917916223507085,3.8027322297e-06,0.75,0.6765625000000001,0.278125,25.0,5.0
23,0,0.0,0.0,0.65,0.1334375,1.109375,25.0,5.0
24,1,0.2013186559556089,1.2459560524e-06,1.4500000000000002,0.5284375,0.159375,25.0,5.0
25,1,0.2540776674941954,7.235204355e-07,1.85,0.3309375,1.584375,25.0,5.0
26,1,0.1441138268195946,3.0448233992e-06,1.05,0.7259375,0.6343749999999999,25.0,5.0
27,1,0.3624130894160671,5.741531333e-07,0.8500000000000001,0.2321875,0.396875,25.0,5.0
28,1,0.2172315205334553,1.1096756264e-06,1.65,0.6271875,1.346875,25.0,5.0
29,0,0.0,0.0,1.25,0.0346875,0.871875,25.0,5.0
30,1,0.2987124657802629,9.286363655e-07,0.45,0.4296875,1.821875,25.0,5.0
31,1,0.4469793744199664,3.849437494e-07,0.475,0.21984375,1.4359375,25.0,5.0
32,1,0.1909311302935989,1.6970850354e-06,1.275,0.61484375,0.4859375,25.0,5.0
33,0,0.0,0.0,1.6750000000000005,0.02234375,1.9109375,25.0,5.0
34,1,0.2810917983718738,8.663239379e-07,0.875,0.41734375,0.9609375,25.0,5.0
35,1,0.2848324154961474,1.3589053722e-06,1.0750000000000002,0.12109375,0.2484375,25.0,5.0
36,1,0.2335035030446398,9.709597305e-07,1.875,0.51609375,1.1984375,25.0,5.0
37,1,0.2663461222613157,8.14934708e-07,1.475,0.31859375,0.7234375,25.0,5.0
38,1,0.1297610672427452,3.216447985e-06,0.675,0.71359375,1.6734375,25.0,5.0
39,1,0.295781110404625,1.4336864666e-06,0.775,0.07171875,0.6046874999999999,25.0,5.0
40,1,0.2400642162811419,7.952082064e-07,1.5750000000000002,0.46671875,1.5546875,25.0,5.0
41,0,0.0,0.0,1.975,0.26921875,0.1296875,25.0,5.0
42,1,0.1965890800007992,1.9726152149e-06,1.175,0.6642187500000001,1.0796875,25.0,5.0
43,1,0.3337258839101944,6.40418414e-07,0.975,0.36796875,1.7921875,25.0,5.0
44,1,0.1718501696679555,1.8080534428e-06,1.775,0.7629687500000001,0.8421875,25.0,5.0
45,0,0.0,0.0,1.375,0.17046875,1.3171875,25.0,5.0
46,1,0.1552894678550489,2.3309986552e-06,0.5750000000000001,0.5654687500000001,0.3671875,25.0,5.0
47,1,0.4540980737553512,3.491361905e-07,0.525,0.19515625,1.6140625,25.0,5.0
48,1,0.2077815086340229,1.4019389358e-06,1.3250000000000002,0.59015625,0.6640625,25.0,5.0
49,1,0.2677433730341092,8.198353705e-07,1.725,0.39265625,1.1390625,25.0,5.0
50,1,0.0937852945950535,4.0089929927e-06,0.925,0.7876562500000001,0.1890625,25.0,5.0
51,1,0.3279300686920903,5.029045428e-07,1.125,0.29390625,0.9015625,25.0,5.0
52,1,0.2047309792824526,1.0092371401e-06,1.9250000000000005,0.68890625,1.8515625,25.0,5.0
53,1,0.2333068697354304,1.99199859e-06,1.525,0.09640625,0.4265625,25.0,5.0
54,1,0.2382688554470615,1.1343753906e-06,0.7250000000000001,0.49140625,1.3765625,25.0,5.0
55,1,0.3198624255350992,7.590446931e-07,0.625,0.34328125,0.5453125,25.0,5.0
56,1,0.1828431683015857,1.5162797626e-06,1.4250000000000005,0.73828125,1.4953125,25.0,5.0
57,0,0.0,0.0,1.825,0.14578125,1.0203125,25.0,5.0
58,1,0.2437759198512721,1.3611810776e-06,1.025,0.54078125,1.9703125,25.0,5.0
59,0,0.0,0.0,0.8250000000000001,0.04703125,1.2578125,25.0,5.0
60,1,0.2356355939293284,9.896755389e-07,1.625,0.44203125,0.3078125,25.0,5.0
61,1,0.3301760005004378,6.180219713e-07,1.225,0.24453125,1.7328125,25.0,5.0
62,1,0.1779078757385458,2.2998399112e-06,0.425,0.63953125,0.7828124999999999,25.0,5.0
63,1,0.367470043751448,6.266796082e-07,0.4375,0.324765625,1.65859375,25.0,5.0
64,1,0.1609276188743453,2.1046899248e-06,1.2375,0.7197656250000001,0.7085937499999999,25.0,5.0
65,0,0.0,0.0,1.6375000000000002,0.127265625,1.18359375,25.0,5.0
66,1,0.2006215845853282,1.9035813482e-06,0.8375,0.5222656250000001,0.23359375,25.0,5.0
67,0,0.0,0.0,1.0375,0.028515625,0.94609375,25.0,5.0
68,1,0.2467290391683415,6.598138112e-07,1.8375,0.423515625,1.89609375,25.0,5.0
69,1,0.2688601018874126,1.1509530953e-06,1.4375,0.226015625,0.47109375,25.0,5.0
70,1,0.1734038740415863,2.3033977251e-06,0.6375000000000001,0.6210156250000001,1.42109375,25.0,5.0
71,1,0.3677413096449627,7.367023551e-07,0.7375,0.176640625,0.35234375,25.0,5.0
72,1,0.2329382506694207,1.0749261219e-06,1.5375,0.571640625,1.30234375,25.0,5.0
73,1,0.2209673705975135,1.080817872e-06,1.9375,0.374140625,0.8273437499999999,25.0,5.0
74,1,0.1627316513190752,2.6174479752e-06,1.1375000000000002,0.769140625,1.77734375,25.0,5.0
75,1,0.3536064908926438,4.998286837e-07,0.9375,0.275390625,1.06484375,25.0,5.0
76,0,0.0,0.0,1.7375000000000005,0.670390625,0.11484375,25.0,5.0
77,0,0.0,0.0,1.3375,0.077890625,1.53984375,25.0,5.0
78,1,0.215230779256037,1.6978040617e-06,0.5375000000000001,0.472890625,0.58984375,25.0,5.0
79,1,0.401128998948665,5.847945214e-07,0.5875,0.102578125,1.36171875,25.0,5.0
80,1,0.106428847789086,3.8355530862e-06,0.7539310222649337,0.7120695287888519,0.278125,25.0,5.0
81,0,0.0,0.0,0.5835689777351759,0.0674530887050807,1.36171875,25.0,5.0
82,1,0.1732865330382765,2.2453438957e-06,0.4430272043449741,0.63953125,0.8737966516946457,25.0,5.0
83,1,0.181692517638341,1.8801422422e-06,0.6834090555939876,0.6025,1.4340158481043923,25.0,5.0
84,1,0.3034002820889907,9.309673952e-07,0.4766689802676374,0.3994759816813522,1.0505596023399333,25.0,5.0
85,1,0.31704924920441,6.789301151e-07,1.198497431723903,0.225367768318681,1.4353778976600655,25.0,5.0
86,1,0.3577327212161538,6.803148804e-07,0.8500000000000001,0.2084391378355699,0.4106020663750317,25.0,5.0
87,1,0.2727325944244234,1.1248833572e-06,1.4375,0.226015625,0.3981263695186198,25.0,5.0
88,1,0.252907208148287,6.914084048e-07,1.8084060302924527,0.3731097389263851,1.584375,25.0,5.0
89,1,0.3280561845157089,6.109106035e-07,1.2000000000000002,0.3312437672708609,1.05,25.0,5.0
90,1,0.2455310164285633,6.757894824e-07,1.755058132608376,0.423515625,1.9044428566220069,25.0,5.0
91,1,0.4009708313810755,3.649854765e-07,0.7000000000000001,0.2537850845163533,1.8813558450012768,25.0,5.0
92,1,0.2547224503379004,7.869049624e-07,1.856437766322516,0.3316877630962773,1.5829105729512565,25.0,5.0
93,1,0.2336826619951347,1.0698776019e-06,1.527069976640409,0.571640625,1.3077097846095034,25.0,5.0
94,1,0.2397269779398846,7.966941367e-07,1.5750000000000002,0.4678936016118502,1.564323387574582,25.0,5.0
95,1,0.2198002335409456,1.1004460397e-06,1.958138928352806,0.3729657733881498,0.8273437499999999,25.0,5.0
96,1,0.2716860713558096,6.542543669e-07,1.7000000000000002,0.292735307608108,1.7487520196660282,25.0,5.0
97,1,0.2264938514295647,1.3382466509e-06,1.1979583090949208,0.554295942391178,0.9039824996374036,25.0,5.0
