,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),inner_disk_radius(mm),outer_disk_radius(mm),volute_constructor_parameter(-),volsp
0,1,0.2637251127044302,7.458334146e-07,1.2000000000000002,10.0,32.5,0.405,1.05
1,0,0.0,0.0,1.6,7.5,23.75,0.2075,1.525
2,1,0.1188847755779691,2.3484479873e-06,0.8,12.5,41.25,0.6025,0.575
3,1,0.098182547910607,2.7748809199e-06,1.0,8.75,36.875,0.70125,0.8124999999999999
4,1,0.2091979722858561,9.902067546e-07,1.4,6.25,45.625,0.50375,1.2875
5,1,0.3870420770193965,8.717023062e-07,0.6000000000000001,11.25,28.125,0.10875,0.3375
6,1,0.2507625977581526,8.585639116e-07,0.7000000000000001,8.125,47.8125,0.355625,1.16875
7,1,0.1258570335059646,2.2334554967e-06,1.5,13.125,30.3125,0.7506250000000001,0.21875
8,1,0.2871861627386587,9.323790045e-07,1.9,5.625,39.0625,0.158125,0.69375
9,1,0.2228006506344419,2.113994325e-06,1.1,10.625,21.5625,0.5531250000000001,1.64375
10,1,0.286162246385848,1.0531398991e-06,0.9,6.875,25.9375,0.454375,1.88125
11,0,0.0,0.0,1.7000000000000002,11.875,43.4375,0.059375,0.93125
12,1,0.3758145800490534,4.723692953e-07,0.5,14.375,34.6875,0.256875,1.40625
13,1,0.1701187444914354,1.7921699651e-06,0.55,9.6875,31.40625,0.5284375,0.6343749999999999
14,1,0.3334292743422587,5.927722489e-07,1.35,14.6875,48.90625,0.1334375,1.584375
15,1,0.1859624447623067,1.4602066666e-06,1.75,7.1875,22.65625,0.7259375,1.109375
16,1,0.2377553724425955,1.2835895986e-06,0.95,12.1875,40.15625,0.3309375,0.159375
17,1,0.347834684432745,4.884496178e-07,1.15,5.9375,44.53125,0.2321875,0.396875
18,1,0.1766514595595453,1.4174384497e-06,1.95,10.9375,27.03125,0.6271875,1.346875
19,0,0.0,0.0,1.5500000000000005,8.4375,35.78125,0.0346875,1.821875
20,1,0.124792912825717,2.7863800575e-06,0.65,6.5625,33.59375,0.6765625000000001,1.703125
21,1,0.1857265936499884,1.0995978811e-06,1.85,9.0625,42.34375,0.4790625000000001,0.278125
22,0,0.0,0.0,1.05,14.0625,24.84375,0.0840625,1.228125
23,1,0.3850174538033215,9.05442232e-07,0.8500000000000001,7.8125,20.46875,0.1828125,1.465625
24,1,0.1654455791434976,1.5356392834e-06,1.65,12.8125,37.96875,0.5778125000000001,0.515625
25,1,0.3014580375679022,6.031498066e-07,1.25,5.3125,29.21875,0.3803125000000001,0.990625
26,1,0.22489059519742,8.76329403e-07,0.45,10.3125,46.71875,0.7753125000000001,1.940625
27,1,0.2145185260875299,7.923432035e-07,0.475,7.65625,39.609375,0.44203125,0.3671875
28,1,0.1687257360320736,1.2453836607e-06,1.6750000000000005,5.15625,48.359375,0.63953125,1.7921875
29,1,0.3544089832453626,3.714800703e-07,0.875,10.15625,30.859375,0.24453125,0.8421875
30,1,0.2923620252030069,1.4778528322e-06,1.0750000000000002,6.40625,17.734375,0.34328125,0.6046874999999999
31,1,0.1599222096331157,1.8832440539e-06,1.875,11.40625,35.234375,0.73828125,1.5546875
32,0,0.0,0.0,1.475,8.90625,26.484375,0.14578125,1.0796875
33,1,0.1766411073299332,1.732846572e-06,0.675,13.90625,43.984375,0.54078125,0.1296875
34,1,0.106005824580623,5.1909085831e-06,0.775,5.78125,24.296875,0.7876562500000001,1.4359375
35,1,0.2439287116819937,8.275046589e-07,1.5750000000000002,10.78125,41.796875,0.39265625,0.4859375
36,1,0.3307408232935043,5.345080217e-07,1.175,13.28125,33.046875,0.19515625,1.9109375
37,1,0.4264450984797977,4.192889013e-07,0.975,9.53125,46.171875,0.09640625,1.6734375
38,1,0.1942100687932252,1.8288942246e-06,1.775,14.53125,28.671875,0.49140625,0.7234375
39,1,0.2811568110534744,6.575957648e-07,1.375,7.03125,37.421875,0.29390625,0.2484375
40,1,0.4664218946373835,3.730617283e-07,0.525,7.34375,42.890625,0.12109375,0.9015625
41,1,0.2453229369808768,1.6221140287e-06,1.3250000000000002,12.34375,25.390625,0.51609375,1.8515625
42,1,0.2757483393364763,6.147474112e-07,1.725,9.84375,34.140625,0.31859375,1.3765625
43,1,0.1450672042844208,2.6669367604e-06,1.125,8.59375,29.765625,0.61484375,0.1890625
44,1,0.2735498257689138,5.872854526e-07,1.9250000000000005,13.59375,47.265625,0.21984375,1.1390625
45,1,0.2603124454945674,7.498929153e-07,1.525,6.09375,21.015625,0.41734375,1.6140625
46,0,0.0,0.0,0.7250000000000001,11.09375,38.515625,0.02234375,0.6640625
47,1,0.4090810764749669,7.591256967e-07,0.625,9.21875,23.203125,0.26921875,1.9703125
48,1,0.1398238964510614,1.8832038347e-06,1.4250000000000005,14.21875,40.703125,0.6642187500000001,1.0203125
49,1,0.224468063178338,1.8951970815e-06,1.825,6.71875,31.953125,0.07171875,0.5453125
50,1,0.1968694653518608,1.0494895158e-06,1.025,11.71875,49.453125,0.46671875,1.4953125
51,1,0.1764780963272218,1.5678582041e-06,0.8250000000000001,5.46875,36.328125,0.5654687500000001,1.2578125
52,1,0.0907786576001672,2.4888799462e-06,1.225,7.96875,45.078125,0.7629687500000001,0.7828124999999999
53,1,0.3415726199542624,1.1395032154e-06,0.425,12.96875,27.578125,0.36796875,1.7328125
54,1,0.2145294773897392,1.2534510146e-06,0.4375,8.984375,43.7109375,0.670390625,1.33203125
55,1,0.3087718898287261,1.014554126e-06,1.2375,13.984375,26.2109375,0.275390625,0.38203125
56,1,0.250793872000287,7.549768008e-07,1.6375000000000002,6.484375,34.9609375,0.472890625,0.8570312499999999
57,1,0.3526522354932989,4.800542842e-07,1.0375,5.234375,30.5859375,0.176640625,1.56953125
58,1,0.1575506264892515,1.4354081209e-06,1.8375,10.234375,48.0859375,0.571640625,0.61953125
59,1,0.2414574536813085,1.3102967474e-06,1.4375,7.734375,21.8359375,0.374140625,0.14453125
60,1,0.108801365910045,2.3293464326e-06,0.6375000000000001,12.734375,39.3359375,0.769140625,1.09453125
61,1,0.2249577991647445,2.3843234509e-06,0.7375,7.109375,19.6484375,0.5222656250000001,0.50078125
62,0,0.0,0.0,1.5375,12.109375,37.1484375,0.127265625,1.45078125
63,1,0.1776418213864606,1.2656446185e-06,1.9375,9.609375,28.3984375,0.7197656250000001,1.92578125
64,1,0.2807027297454588,6.059233059e-07,1.1375000000000002,14.609375,45.8984375,0.324765625,0.97578125
65,1,0.3799104897451829,3.752533133e-07,0.9375,8.359375,32.7734375,0.226015625,0.73828125
66,0,0.0,0.0,1.3375,5.859375,41.5234375,0.028515625,1.21328125
67,1,0.2293711837694385,2.1416776204e-06,0.5375000000000001,10.859375,24.0234375,0.423515625,0.26328125
68,1,0.2635090158213116,7.738955012e-07,0.5875,6.171875,38.2421875,0.398828125,1.86640625
